emgT,emg,rms,mnf,mdf
0.000000,-0.076238,0.000000,0.000000,0.000000
1.000000,-0.076772,0.007624,0.000000,0.000000
2.000000,-0.074407,0.010819,0.000000,0.000000
3.000000,-0.069295,0.013131,0.000000,0.000000
4.000000,-0.067693,0.014847,0.000000,0.000000
5.000000,-0.065099,0.016318,0.000000,0.000000
6.000000,-0.065175,0.017568,0.000000,0.000000
7.000000,-0.065862,0.018738,0.000000,0.000000
8.000000,-0.069600,0.019862,0.000000,0.000000
9.000000,-0.074178,0.021046,0.000000,0.000000
10.000000,-0.075933,0.022315,0.000000,0.000000
11.000000,-0.072423,0.023572,0.000000,0.000000
12.000000,-0.069600,0.024659,0.000000,0.000000
13.000000,-0.069753,0.025623,0.000000,0.000000
14.000000,-0.065328,0.026555,0.000000,0.000000
15.000000,-0.060903,0.027347,0.000000,0.000000
16.000000,-0.064717,0.028017,0.000000,0.000000
17.000000,-0.063191,0.028755,0.000000,0.000000
18.000000,-0.067006,0.029441,0.000000,0.000000
19.000000,-0.067540,0.030194,0.000000,0.000000
20.000000,-0.068456,0.030940,0.000000,0.000000
21.000000,-0.069600,0.031688,0.000000,0.000000
22.000000,-0.067617,0.032443,0.000000,0.000000
23.000000,-0.063802,0.033141,0.000000,0.000000
24.000000,-0.062123,0.033749,0.000000,0.000000
25.000000,-0.056706,0.034316,0.000000,0.000000
26.000000,-0.058690,0.034781,0.000000,0.000000
27.000000,-0.059911,0.035273,0.000000,0.000000
28.000000,-0.061818,0.035778,0.000000,0.000000
29.000000,-0.063344,0.036308,0.000000,0.000000
30.000000,-0.063420,0.036857,0.000000,0.000000
31.000000,-0.060903,0.037399,0.000000,0.000000
32.000000,-0.061742,0.037891,0.000000,0.000000
33.000000,-0.057317,0.038391,0.000000,0.000000
34.000000,-0.055867,0.038816,0.000000,0.000000
35.000000,-0.054646,0.039216,0.000000,0.000000
36.000000,-0.056859,0.039595,0.000000,0.000000
37.000000,-0.054875,0.040001,0.000000,0.000000
38.000000,-0.055638,0.040376,0.000000,0.000000
39.000000,-0.055257,0.040758,0.000000,0.000000
40.000000,-0.054799,0.041130,0.000000,0.000000
41.000000,-0.056859,0.041494,0.000000,0.000000
42.000000,-0.056554,0.041882,0.000000,0.000000
43.000000,-0.054341,0.042262,0.000000,0.000000
44.000000,-0.051823,0.042610,0.000000,0.000000
45.000000,-0.049382,0.042924,0.000000,0.000000
46.000000,-0.048543,0.043207,0.000000,0.000000
47.000000,-0.050984,0.043479,0.000000,0.000000
48.000000,-0.051976,0.043777,0.000000,0.000000
49.000000,-0.051671,0.044084,0.000000,0.000000
50.000000,-0.056172,0.044386,0.000000,0.000000
51.000000,-0.051900,0.044740,0.000000,0.000000
52.000000,-0.050832,0.045040,0.000000,0.000000
53.000000,-0.047856,0.045326,0.000000,0.000000
54.000000,-0.039006,0.045578,0.000000,0.000000
55.000000,-0.046864,0.045744,0.000000,0.000000
56.000000,-0.054417,0.045984,0.000000,0.000000
57.000000,-0.045491,0.046305,0.000000,0.000000
58.000000,-0.049153,0.046528,0.000000,0.000000
59.000000,-0.045949,0.046787,0.000000,0.000000
60.000000,-0.046635,0.047012,0.000000,0.000000
61.000000,-0.046559,0.047242,0.000000,0.000000
62.000000,-0.047017,0.047471,0.000000,0.000000
63.000000,-0.044575,0.047703,0.000000,0.000000
64.000000,-0.045491,0.047911,0.000000,0.000000
65.000000,-0.042668,0.048127,0.000000,0.000000
66.000000,-0.041218,0.048316,0.000000,0.000000
67.000000,-0.042515,0.048491,0.000000,0.000000
68.000000,-0.041905,0.048677,0.000000,0.000000
69.000000,-0.043355,0.048857,0.000000,0.000000
70.000000,-0.045567,0.049049,0.000000,0.000000
71.000000,-0.041447,0.049260,0.000000,0.000000
72.000000,-0.041905,0.049434,0.000000,0.000000
73.000000,-0.040684,0.049612,0.000000,0.000000
74.000000,-0.038853,0.049778,0.000000,0.000000
75.000000,-0.037327,0.049930,0.000000,0.000000
76.000000,-0.036946,0.050069,0.000000,0.000000
77.000000,-0.041066,0.050205,0.000000,0.000000
78.000000,-0.040913,0.050373,0.000000,0.000000
79.000000,-0.037327,0.050539,0.000000,0.000000
80.000000,-0.036259,0.050676,0.000000,0.000000
81.000000,-0.036412,0.050806,1.307502,0.000000
82.000000,-0.035573,0.050936,1.319114,0.000000
83.000000,-0.035039,0.051060,1.337718,0.000000
84.000000,-0.035191,0.051180,1.365592,0.000000
85.000000,-0.034047,0.051301,1.402858,0.000000
86.000000,-0.035649,0.051414,1.450917,0.000000
87.000000,-0.034199,0.051537,1.508839,0.000000
88.000000,-0.032368,0.051651,1.576096,0.000000
89.000000,-0.031682,0.051752,1.649270,0.000000
90.000000,-0.036946,0.051849,1.726063,0.000000
91.000000,-0.032292,0.051980,1.808448,0.000000
92.000000,-0.030919,0.052081,1.902668,0.000000
93.000000,-0.032597,0.052172,2.008718,0.000000
94.000000,-0.032139,0.052274,2.122869,0.000000
95.000000,-0.028019,0.052373,2.252443,0.000000
96.000000,-0.028401,0.052448,2.398960,0.000000
97.000000,-0.028248,0.052525,2.548026,0.000000
98.000000,-0.030919,0.052600,2.708854,0.000000
99.000000,-0.030308,0.052691,2.869988,0.000000
100.000000,-0.050832,0.052778,3.037275,0.000000
101.000000,-0.051900,0.052472,3.209265,0.000000
102.000000,-0.048619,0.052166,3.384736,0.000000
103.000000,-0.047093,0.051861,3.571043,0.000000
104.000000,-0.046483,0.051611,3.773265,0.000000
105.000000,-0.040913,0.051376,3.986180,0.000000
106.000000,-0.041676,0.051126,4.220775,0.000000
107.000000,-0.046559,0.050880,4.455878,0.000000
108.000000,-0.047322,0.050666,4.692613,0.000000
109.000000,-0.045491,0.050408,4.927788,0.000000
110.000000,-0.047017,0.050066,5.161610,0.000000
111.000000,-0.045872,0.049710,5.398121,3.906250
112.000000,-0.041905,0.049393,5.645784,3.906250
113.000000,-0.042287,0.049080,5.892731,3.906250
114.000000,-0.039387,0.048765,6.157236,3.906250
115.000000,-0.040150,0.048486,6.428730,3.906250
116.000000,-0.038243,0.048269,6.706071,3.906250
117.000000,-0.037098,0.047986,6.975789,3.906250
118.000000,-0.041218,0.047712,7.253171,3.906250
119.000000,-0.039540,0.047419,7.527220,3.906250
120.000000,-0.040532,0.047102,7.801834,3.906250
121.000000,-0.043050,0.046778,8.076861,3.906250
122.000000,-0.039769,0.046457,8.341772,3.906250
123.000000,-0.038319,0.046134,8.605538,3.906250
124.000000,-0.036412,0.045851,8.875482,3.906250
125.000000,-0.030842,0.045574,9.152538,3.906250
126.000000,-0.032673,0.045325,9.436098,3.906250
127.000000,-0.035039,0.045062,9.719312,3.906250
128.000000,-0.039464,0.044799,9.988438,3.906250
129.000000,-0.037556,0.044546,10.249067,3.906250
130.000000,-0.041600,0.044253,10.506212,3.906250
