icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT,accX_,accY_,accZ_,gyrX_,gyrY_,gyrZ_,magX_,magY_,magZ_,roll,pitch,yaw,roll_,pitch_,yaw_
0.000000,0.034180,-1.097168,-0.049316,0.000000,-42.541504,24.105072,16.902924,0.000000,86.849960,34.649963,-77.400009,0.000000,0.000000,0.000000,0.000000,-40.692787,23.057543,16.168377,0.715492,0.285455,-0.637641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,0.037109,-1.105957,-0.073242,1.000000,-44.067383,24.044037,17.330170,1.000000,86.849960,34.799957,-75.900009,1.000000,0.000000,0.000000,0.000000,-38.538719,20.951584,15.141257,0.716673,0.286198,-0.635980,3.430164,-3.168139,1.068629,3.430164,-3.168139,1.068629
20.000000,0.036621,-1.103515,-0.066895,2.000000,-45.471191,24.593353,18.184662,2.000000,86.849960,34.799957,-75.900009,2.000000,0.000000,0.000000,0.000000,-36.305401,19.529337,14.552931,0.717837,0.286931,-0.634335,6.783351,-6.259159,2.119966,6.783351,-6.259159,2.119966
30.000000,0.042480,-1.121094,-0.062988,3.000000,-45.959473,24.471283,18.489838,3.000000,87.599960,33.599960,-77.550003,3.000000,0.032599,-0.997933,-0.055377,-33.249039,17.512009,13.434191,0.718665,0.286755,-0.633477,6.503903,-5.620049,3.152289,6.503903,-5.620049,3.152289
40.000000,0.036133,-1.124511,-0.061035,4.000000,-48.400879,23.799896,19.527435,4.000000,87.599960,33.299957,-75.900009,4.000000,0.033103,-0.997872,-0.056178,-32.195152,15.074583,13.060398,0.719384,0.285481,-0.633235,6.220456,-4.968875,4.157855,6.220456,-4.968875,4.157855
50.000000,0.033691,-1.109375,-0.079102,5.000000,-50.048828,23.616791,19.588470,5.000000,86.849960,33.299957,-75.900009,5.000000,0.033288,-0.997834,-0.056740,-30.350235,13.254498,11.734910,0.720236,0.283857,-0.632997,5.942293,-4.313929,5.141892,5.942293,-4.313929,5.141892
60.000000,0.033203,-1.104004,-0.072754,6.000000,-53.344727,23.921967,20.442963,6.000000,87.299957,31.349960,-75.450012,6.000000,0.033168,-0.997785,-0.057664,-30.123829,12.006139,11.236753,0.721212,0.282022,-0.632706,5.661184,-3.638721,6.109500,5.661184,-3.638721,6.109500
70.000000,0.013672,-1.091797,-0.094727,7.000000,-59.020996,24.166107,20.076752,7.000000,87.299957,32.549957,-74.100006,7.000000,0.032637,-0.997722,-0.059047,-32.079769,10.760169,9.570836,0.722458,0.279878,-0.632237,5.388679,-2.919802,7.060209,5.388679,-2.919802,7.060209
80.000000,0.023926,-1.052734,-0.104004,8.000000,-65.490723,25.081635,20.442963,8.000000,86.549957,32.549957,-74.100006,8.000000,0.031638,-0.997627,-0.061144,-34.507164,10.221688,8.710989,0.723933,0.277972,-0.631390,5.116892,-2.149452,8.000570,5.116892,-2.149452,8.000570
90.000000,0.045410,-1.034668,-0.129395,9.000000,-69.396973,26.790619,22.335052,9.000000,88.349960,29.849960,-74.100006,9.000000,0.030753,-0.997460,-0.064247,-34.145699,10.449341,9.350902,0.725592,0.276117,-0.630298,4.830990,-1.352665,8.938163,4.830990,-1.352665,8.938163
100.000000,0.035645,-1.036133,-0.162109,10.000000,-71.044922,30.452728,23.372650,10.000000,88.349960,32.849960,-72.300003,10.000000,0.030422,-0.997174,-0.068694,-31.525774,12.486401,9.083714,0.727677,0.274001,-0.628816,4.540267,-0.550556,9.891404,4.540267,-0.550556,9.891404
110.000000,0.048340,-1.060058,-0.177734,11.000000,-72.082520,35.396576,22.640228,11.000000,86.549957,32.849960,-72.300003,11.000000,0.030548,-0.996739,-0.074693,-28.425652,15.529117,7.111816,0.730023,0.272477,-0.626756,4.262696,0.252576,10.871854,4.262696,0.252576,10.871854
