emgT,emg,rms,mnf,mdf
0.000000,-0.072461,0.007246,0.000000,0.000000
1.000000,-0.072385,0.010242,0.000000,0.000000
2.000000,-0.075208,0.012707,0.000000,0.000000
3.000000,-0.074674,0.014739,0.000000,0.000000
4.000000,-0.074140,0.016498,0.000000,0.000000
5.000000,-0.071088,0.017965,0.000000,0.000000
6.000000,-0.072995,0.019391,0.000000,0.000000
7.000000,-0.071469,0.020666,0.000000,0.000000
8.000000,-0.073987,0.021951,1.307502,0.000000
9.000000,-0.072461,0.023116,1.319239,0.000000
10.000000,-0.072004,0.024211,1.336578,0.000000
11.000000,-0.068341,0.025157,1.360728,0.000000
12.000000,-0.070096,0.026116,1.392107,0.000000
13.000000,-0.070401,0.027048,1.432448,0.000000
14.000000,-0.069486,0.027926,1.479630,0.000000
15.000000,-0.072309,0.028847,1.535710,0.000000
16.000000,-0.070249,0.029690,1.597838,0.000000
17.000000,-0.069409,0.030491,1.669014,0.000000
18.000000,-0.068189,0.031244,1.748564,0.000000
19.000000,-0.066205,0.031938,1.840176,0.000000
20.000000,-0.065518,0.032603,1.938237,0.000000
21.000000,-0.066968,0.033283,2.043998,0.000000
22.000000,-0.066434,0.033940,2.158965,0.000000
23.000000,-0.067350,0.034602,2.277425,0.000000
24.000000,-0.063382,0.035177,2.406349,0.000000
25.000000,-0.061704,0.035714,2.543972,0.000000
26.000000,-0.063687,0.036278,2.690974,0.000000
27.000000,-0.064679,0.036850,2.848923,0.000000
28.000000,-0.062390,0.037374,3.015426,0.000000
29.000000,-0.063306,0.037907,3.185671,0.000000
30.000000,-0.063077,0.038428,3.363330,0.000000
31.000000,-0.059491,0.038886,3.544713,0.000000
32.000000,-0.060254,0.039350,3.741154,0.000000
33.000000,-0.057050,0.039761,3.947494,0.000000
34.000000,-0.058652,0.040191,4.153960,0.000000
35.000000,-0.061475,0.040659,4.362230,0.000000
36.000000,-0.060559,0.041107,4.580847,0.000000
37.000000,-0.056973,0.041500,4.800531,0.000000
38.000000,-0.059033,0.041918,5.023973,3.906250
39.000000,-0.056668,0.042299,5.260982,3.906250
40.000000,-0.056821,0.042679,5.498184,3.906250
41.000000,-0.055447,0.043038,5.747588,3.906250
42.000000,-0.058270,0.043431,5.993554,3.906250
43.000000,-0.057813,0.043814,6.231181,3.906250
44.000000,-0.055066,0.044158,6.472152,3.906250
45.000000,-0.052319,0.044467,6.725228,3.906250
46.000000,-0.053235,0.044785,6.970893,3.906250
47.000000,-0.055524,0.045128,7.223876,3.906250
48.000000,-0.054608,0.045457,7.475104,3.906250
49.000000,-0.055676,0.045797,7.729531,3.906250
50.000000,-0.054303,0.046117,7.971883,3.906250
51.000000,-0.051938,0.046409,8.213378,3.906250
52.000000,-0.048962,0.046667,8.461874,3.906250
53.000000,-0.048123,0.046914,8.717101,3.906250
54.000000,-0.052090,0.047202,8.965622,3.906250
55.000000,-0.054761,0.047519,9.202196,3.906250
56.000000,-0.050107,0.047782,9.438056,3.906250
57.000000,-0.047742,0.048020,9.665894,3.906250
58.000000,-0.047436,0.048254,9.894190,3.906250
59.000000,-0.046368,0.048476,10.126160,3.906250
60.000000,-0.046674,0.048700,10.363601,3.906250
61.000000,-0.047971,0.048936,10.598735,3.906250
62.000000,-0.047436,0.049166,10.814833,3.906250
63.000000,-0.048505,0.049404,11.016598,3.906250
64.000000,-0.043622,0.049596,11.228803,3.906250
65.000000,-0.039960,0.049757,11.443262,3.906250
66.000000,-0.044842,0.049959,11.652896,3.906250
67.000000,-0.042554,0.050140,11.860076,3.906250
68.000000,-0.045377,0.050345,12.060265,3.906250
69.000000,-0.046445,0.050558,12.250401,3.906250
70.000000,-0.042477,0.050736,12.436320,3.906250
71.000000,-0.039883,0.050893,12.613144,3.906250
72.000000,-0.040188,0.051051,12.798684,3.906250
73.000000,-0.038891,0.051199,12.988626,3.906250
74.000000,-0.039960,0.051355,13.158111,3.906250
75.000000,-0.043469,0.051539,13.328012,3.906250
