channel,mean,std
accX_,0.09184343,0.23852234
accX_1,-0.00000879,0.00551350
accX_2,0.00000252,0.00137138
accY_,-0.87954381,0.21781954
accY_1,-0.00003012,0.00616678
accY_2,0.00000246,0.00419814
accZ_,-0.15881470,0.29726191
accZ_1,0.00001905,0.00540194
accZ_2,-0.00000022,0.00111350
gyrX_,-0.10616566,16.06222005
gyrX_1,0.00672775,2.90218303
gyrX_2,0.00032590,2.94839190
gyrY_,0.06459987,15.34724575
gyrY_1,0.00522431,4.50997727
gyrY_2,-0.00085102,3.62026801
gyrZ_,-0.03450983,7.52079278
gyrZ_1,-0.00205700,2.06921467
gyrZ_2,0.00027074,1.88394862
magX_,0.60573203,0.22143459
magX_1,-0.00002477,0.00293871
magX_2,-0.00000014,0.00083754
magY_,0.38614437,0.25531641
magY_1,0.00000744,0.00376195
magY_2,-0.00000066,0.00086144
magZ_,-0.48022146,0.37302658
magZ_1,-0.00001027,0.00477398
magZ_2,0.00000102,0.00096724
roll_s,0.13436101,0.27809585
roll_c,0.94522327,0.10557369
roll_1,-0.00017667,0.33191625
roll_2,0.00000032,0.04180884
pitch_s,0.20228333,0.32928732
pitch_c,0.90009460,0.20115678
pitch_1,-0.00013387,0.38044837
pitch_2,0.00006210,0.03405716
yaw_s,0.61944343,0.33624552
yaw_c,0.64889059,0.28662311
yaw_1,0.00486083,0.33943366
yaw_2,0.00005823,0.06123228
