icmT,accX,accY,accZ,accT,gyrX,gyrY,gyrZ,gyrT,magX,magY,magZ,magT
0.000000,-0.407715,0.129883,0.907715,0.000000,0.650406,-0.230789,0.051498,0.000000,15.299957,-25.950012,-101.550003,0.000000
10.000000,-0.409668,0.140625,0.902344,1.000000,0.284195,0.131607,-0.310898,1.000000,16.199966,-25.950012,-101.550003,1.000000
20.000000,-0.414551,0.151367,0.897461,2.000000,0.284195,-0.108719,0.112534,2.000000,15.899963,-25.500000,-100.650009,2.000000
30.000000,-0.418945,0.139648,0.899902,3.000000,-0.566483,0.131607,0.234604,3.000000,15.899963,-25.800003,-102.000000,3.000000
40.000000,-0.420410,0.143555,0.896972,4.000000,0.040054,-0.597000,-0.127792,4.000000,15.299957,-25.800003,-102.000000,4.000000
50.000000,-0.406738,0.123535,0.916992,5.000000,0.101089,0.131607,-0.066757,5.000000,16.199966,-26.700012,-100.500000,5.000000
60.000000,-0.410156,0.138184,0.891601,6.000000,-0.200272,0.009537,0.234604,6.000000,16.199966,-26.250000,-101.700012,6.000000
70.000000,-0.414551,0.137207,0.891601,7.000000,0.223160,0.314713,0.234604,7.000000,14.849960,-26.250000,-101.700012,7.000000
80.000000,-0.405762,0.145508,0.903320,8.000000,0.284195,-0.108719,-0.127792,8.000000,16.349960,-25.500000,-100.650009,8.000000
90.000000,-0.411621,0.145020,0.907715,9.000000,-0.444412,-0.474930,-0.494003,9.000000,16.349960,-25.200012,-102.150009,9.000000
100.000000,-0.414062,0.145996,0.901855,10.000000,-0.139236,0.375748,-0.127792,10.000000,16.799957,-25.200012,-102.150009,10.000000
110.000000,-0.395996,0.132324,0.911621,11.000000,-0.261307,0.436783,-0.066757,11.000000,16.199966,-26.400009,-101.100006,11.000000
120.000000,-0.399414,0.142578,0.913086,12.000000,0.589371,-0.108719,0.051498,12.000000,15.749954,-25.050003,-101.250000,12.000000
130.000000,-0.413574,0.134277,0.905761,13.000000,-0.444412,0.131607,0.173569,13.000000,15.749954,-26.700012,-101.100006,13.000000
140.000000,-0.408691,0.148437,0.903320,14.000000,0.162125,0.192642,0.173569,14.000000,16.949966,-26.700012,-101.100006,14.000000
150.000000,-0.402344,0.136719,0.896972,15.000000,-0.322342,0.131607,-0.310898,15.000000,15.299957,-25.800003,-101.700012,15.000000
160.000000,-0.418457,0.133301,0.908691,16.000000,-0.078201,-0.108719,0.417709,16.000000,15.299957,-26.700012,-100.050003,16.000000
170.000000,-0.417969,0.138184,0.904297,17.000000,0.772476,-0.352859,-0.555038,17.000000,15.899963,-26.700012,-100.050003,17.000000
180.000000,-0.421387,0.146973,0.901855,18.000000,0.894547,-0.291824,-0.249863,18.000000,16.349960,-26.250000,-102.000000,18.000000
190.000000,-0.398926,0.149902,0.905761,19.000000,0.345230,-0.474930,-0.066757,19.000000,16.349960,-26.400009,-101.850006,19.000000
200.000000,-0.401367,0.145020,0.908203,20.000000,0.223160,0.192642,0.173569,20.000000,15.899963,-26.400009,-101.850006,20.000000
210.000000,-0.402832,0.142578,0.900390,21.000000,0.284195,0.314713,-0.066757,21.000000,14.999954,-27.750000,-100.200012,21.000000
220.000000,-0.423340,0.133301,0.922851,22.000000,-0.078201,0.192642,-0.249863,22.000000,16.799957,-25.950012,-101.550003,22.000000
230.000000,-0.413574,0.143555,0.906250,23.000000,0.101089,-0.352859,0.051498,23.000000,16.949966,-25.950012,-100.800003,23.000000
240.000000,-0.408203,0.130371,0.907715,24.000000,-0.139236,-0.108719,-0.310898,24.000000,16.949966,-26.250000,-101.700012,24.000000
250.000000,-0.410644,0.127441,0.906738,25.000000,-0.139236,-0.291824,0.112534,25.000000,15.899963,-26.250000,-101.700012,25.000000
260.000000,-0.423828,0.130859,0.900390,26.000000,-0.383377,-0.474930,0.173569,26.000000,14.999954,-27.000000,-100.950012,26.000000
270.000000,-0.406250,0.138672,0.909668,27.000000,0.040054,-0.352859,-0.371933,27.000000,17.099960,-25.200012,-101.850006,27.000000
280.000000,-0.408203,0.139648,0.910644,28.000000,0.223160,0.009537,0.051498,28.000000,17.099960,-24.900009,-100.050003,28.000000
290.000000,-0.413574,0.132812,0.898437,29.000000,0.040054,0.497818,-0.371933,29.000000,15.899963,-24.900009,-100.050003,29.000000
300.000000,-0.416016,0.151367,0.908203,30.000000,0.284195,0.070572,0.051498,30.000000,16.949966,-25.800003,-100.950012,30.000000
310.000000,-0.418457,0.126953,0.921875,31.000000,0.467300,-0.047684,-0.127792,31.000000,16.949966,-25.800003,-100.950012,31.000000
320.000000,-0.407715,0.142090,0.924804,32.000000,0.101089,-0.169754,-0.127792,32.000000,15.749954,-25.800003,-100.950012,32.000000
330.000000,-0.413574,0.139160,0.896972,33.000000,-0.627518,0.192642,0.295639,33.000000,15.749954,-26.700012,-100.800003,33.000000
340.000000,-0.421387,0.139160,0.913574,34.000000,-0.383377,0.070572,0.051498,34.000000,15.749954,-24.450012,-101.850006,34.000000
350.000000,-0.418945,0.125977,0.906738,35.000000,-0.444412,0.070572,-0.005722,35.000000,15.299957,-24.450012,-101.850006,35.000000
360.000000,-0.430664,0.129883,0.887695,36.000000,0.589371,0.192642,0.173569,36.000000,15.299957,-25.950012,-100.500000,36.000000
370.000000,-0.426269,0.132324,0.898926,37.000000,0.894547,0.192642,-0.310898,37.000000,15.299957,-26.700012,-100.800003,37.000000
380.000000,-0.412598,0.134766,0.905761,38.000000,-0.139236,0.314713,0.112534,38.000000,16.049957,-26.700012,-100.800003,38.000000
390.000000,-0.426758,0.130859,0.906738,39.000000,-0.017166,0.253677,-0.188828,39.000000,16.049957,-26.400009,-102.150009,39.000000
400.000000,-0.403809,0.142578,0.915527,40.000000,-0.139236,-0.474930,0.112534,40.000000,16.049957,-25.950012,-101.850006,40.000000
410.000000,-0.409180,0.143066,0.900879,41.000000,0.528336,-0.047684,-0.127792,41.000000,17.099960,-25.950012,-101.850006,41.000000
420.000000,-0.409668,0.150391,0.896972,42.000000,0.284195,0.131607,-0.310898,42.000000,16.949966,-25.200012,-102.150009,42.000000
430.000000,-0.400879,0.144531,0.900390,43.000000,-0.200272,-0.535965,-0.310898,43.000000,16.949966,-26.550003,-101.700012,43.000000
440.000000,-0.409668,0.126953,0.896484,44.000000,-0.383377,-0.169754,-0.127792,44.000000,16.049957,-26.550003,-101.700012,44.000000
450.000000,-0.402344,0.143066,0.913574,45.000000,-0.383377,-0.169754,0.051498,45.000000,16.199966,-25.200012,-102.900009,45.000000
460.000000,-0.409668,0.126465,0.891601,46.000000,-0.627518,0.131607,-0.555038,46.000000,16.199966,-24.300003,-100.200012,46.000000
470.000000,-0.410644,0.135742,0.898926,47.000000,-0.383377,0.436783,0.112534,47.000000,17.249954,-24.300003,-100.200012,47.000000
480.000000,-0.404785,0.130371,0.915039,48.000000,0.101089,0.192642,-0.188828,48.000000,16.949966,-25.800003,-100.950012,48.000000
490.000000,-0.402344,0.135742,0.902344,49.000000,0.284195,-0.352859,-0.310898,49.000000,16.949966,-25.050003,-101.700012,49.000000
500.000000,-0.414062,0.137207,0.910644,50.000000,0.711441,0.253677,0.173569,50.000000,16.949966,-25.050003,-101.700012,50.000000
510.000000,-0.405273,0.141113,0.918945,51.000000,0.650406,0.375748,0.295639,51.000000,15.749954,-26.250000,-101.250000,51.000000
520.000000,-0.409180,0.144043,0.899414,52.000000,-0.566483,-0.108719,-0.188828,52.000000,15.749954,-25.950012,-102.150009,52.000000
530.000000,-0.406738,0.134766,0.916504,53.000000,0.406265,0.192642,0.051498,53.000000,17.249954,-25.950012,-102.150009,53.000000
540.000000,-0.416992,0.133301,0.904785,54.000000,-0.200272,0.680923,-0.066757,54.000000,16.199966,-26.550003,-100.200012,54.000000
550.000000,-0.411133,0.130859,0.907715,55.000000,-0.566483,-0.047684,0.051498,55.000000,16.199966,-26.550003,-102.000000,55.000000
560.000000,-0.430664,0.139648,0.905761,56.000000,-0.078201,0.009537,0.478745,56.000000,16.049957,-26.550003,-102.000000,56.000000
570.000000,-0.416992,0.126953,0.895996,57.000000,-0.078201,0.070572,0.234604,57.000000,16.049957,-25.650009,-101.100006,57.000000
580.000000,-0.418457,0.138184,0.910156,58.000000,-0.200272,-0.230789,0.051498,58.000000,16.049957,-25.650009,-100.800003,58.000000
590.000000,-0.413086,0.128906,0.912109,59.000000,-0.078201,-0.902176,0.112534,59.000000,16.049957,-25.650009,-100.500000,59.000000
600.000000,-0.416504,0.135742,0.891601,60.000000,0.101089,-0.597000,-0.127792,60.000000,15.149963,-25.650009,-100.500000,60.000000
610.000000,-0.402344,0.143066,0.902832,61.000000,-0.017166,-0.047684,-0.371933,61.000000,16.799957,-26.250000,-100.950012,61.000000
620.000000,-0.405273,0.145508,0.910644,62.000000,-0.810623,-0.108719,-0.188828,62.000000,16.799957,-25.950012,-101.850006,62.000000
630.000000,-0.413086,0.141602,0.901367,63.000000,0.223160,-0.230789,-0.005722,63.000000,16.349960,-25.950012,-101.850006,63.000000
640.000000,-0.413086,0.128906,0.907226,64.000000,0.040054,0.192642,0.051498,64.000000,16.649963,-25.950012,-101.850006,64.000000
650.000000,-0.419922,0.137207,0.900390,65.000000,-0.017166,0.253677,-0.432968,65.000000,16.649963,-25.800003,-100.200012,65.000000
660.000000,-0.424316,0.149902,0.900879,66.000000,0.162125,0.558853,0.173569,66.000000,15.899963,-25.800003,-100.200012,66.000000
670.000000,-0.408691,0.142578,0.897949,67.000000,0.284195,-0.108719,-0.127792,67.000000,15.749954,-27.300003,-102.450012,67.000000
680.000000,-0.406250,0.154785,0.903808,68.000000,0.040054,0.070572,0.417709,68.000000,15.749954,-26.400009,-101.100006,68.000000
690.000000,-0.412109,0.131836,0.897461,69.000000,0.467300,0.009537,-0.188828,69.000000,16.049957,-26.400009,-101.100006,69.000000
700.000000,-0.428711,0.144531,0.907715,70.000000,0.040054,0.070572,-0.188828,70.000000,15.899963,-26.700012,-101.550003,70.000000
710.000000,-0.409180,0.131348,0.901855,71.000000,-0.017166,0.619888,0.173569,71.000000,15.899963,-27.300003,-101.700012,71.000000
720.000000,-0.418457,0.138672,0.897461,72.000000,0.040054,0.314713,0.112534,72.000000,16.949966,-27.300003,-101.700012,72.000000
730.000000,-0.411133,0.143555,0.914062,73.000000,-0.200272,0.314713,0.234604,73.000000,15.749954,-25.800003,-102.750000,73.000000
740.000000,-0.411133,0.126953,0.906250,74.000000,0.101089,0.253677,0.051498,74.000000,16.799957,-25.650009,-101.100006,74.000000
750.000000,-0.408691,0.132324,0.899902,75.000000,-0.017166,0.131607,0.295639,75.000000,16.799957,-25.950012,-101.550003,75.000000
760.000000,-0.403320,0.129395,0.907226,76.000000,0.467300,-0.230789,0.295639,76.000000,16.199966,-25.950012,-101.550003,76.000000
770.000000,-0.402344,0.147949,0.908691,77.000000,0.406265,-0.108719,-0.249863,77.000000,17.099960,-27.300003,-99.900009,77.000000
780.000000,-0.409180,0.125488,0.897949,78.000000,0.589371,-0.047684,0.295639,78.000000,17.099960,-25.950012,-101.550003,78.000000
790.000000,-0.410644,0.131836,0.908691,79.000000,0.223160,0.009537,-0.249863,79.000000,16.349960,-25.950012,-101.550003,79.000000
800.000000,-0.396973,0.140625,0.901855,80.000000,0.284195,0.070572,-0.494003,80.000000,16.799957,-26.400009,-100.500000,80.000000
810.000000,-0.405762,0.147949,0.903808,81.000000,0.284195,0.192642,-0.432968,81.000000,16.799957,-25.650009,-100.500000,81.000000
820.000000,-0.424316,0.131348,0.907226,82.000000,-0.078201,0.131607,-0.494003,82.000000,16.949966,-25.650009,-100.500000,82.000000
830.000000,-0.410156,0.127441,0.911621,83.000000,0.223160,0.558853,-0.616074,83.000000,16.949966,-25.050003,-101.250000,83.000000
840.000000,-0.423340,0.139160,0.898437,84.000000,-0.017166,-0.047684,-0.188828,84.000000,16.049957,-25.050003,-101.250000,84.000000
850.000000,-0.407226,0.134277,0.903320,85.000000,0.162125,0.131607,-0.371933,85.000000,16.199966,-25.950012,-101.100006,85.000000
860.000000,-0.412109,0.130859,0.903320,86.000000,0.345230,0.314713,0.112534,86.000000,16.199966,-27.000000,-101.250000,86.000000
