emgT,emg,rms,mnf,mdf
0.000000,-0.040150,0.004015,0.000000,0.000000
1.000000,-0.036870,0.005451,0.000000,0.000000
2.000000,-0.037022,0.006589,0.000000,0.000000
3.000000,-0.038624,0.007638,0.000000,0.000000
4.000000,-0.039693,0.008608,0.000000,0.000000
5.000000,-0.039464,0.009469,0.000000,0.000000
6.000000,-0.042363,0.010374,0.000000,0.000000
7.000000,-0.043126,0.011234,0.000000,0.000000
8.000000,-0.038014,0.011860,1.307502,0.000000
9.000000,-0.036793,0.012418,1.320587,0.000000
10.000000,-0.039693,0.013037,1.340873,0.000000
11.000000,-0.039845,0.013632,1.367653,0.000000
12.000000,-0.039082,0.014181,1.400857,0.000000
13.000000,-0.039235,0.014714,1.441623,0.000000
14.000000,-0.038396,0.015207,1.486300,0.000000
15.000000,-0.039616,0.015714,1.536707,0.000000
16.000000,-0.038701,0.016184,1.601487,0.000000
17.000000,-0.039464,0.016658,1.676745,0.000000
18.000000,-0.042363,0.017188,1.755227,0.000000
19.000000,-0.041447,0.017681,1.841112,0.000000
20.000000,-0.036488,0.018053,1.936326,0.000000
21.000000,-0.035725,0.018404,2.038916,0.000000
22.000000,-0.036259,0.018757,2.151275,0.000000
23.000000,-0.036259,0.019105,2.267870,0.000000
24.000000,-0.037556,0.019470,2.394248,0.000000
25.000000,-0.039387,0.019865,2.525341,0.000000
26.000000,-0.039921,0.020262,2.653472,0.000000
27.000000,-0.039769,0.020648,2.790252,0.000000
28.000000,-0.034962,0.020942,2.950276,0.000000
29.000000,-0.029011,0.021142,3.119955,0.000000
30.000000,-0.032902,0.021397,3.294178,0.000000
31.000000,-0.031224,0.021623,3.474484,0.000000
32.000000,-0.033055,0.021875,3.654863,0.000000
33.000000,-0.037709,0.022197,3.831953,0.000000
34.000000,-0.036488,0.022495,4.010590,0.000000
35.000000,-0.034810,0.022763,4.193420,0.000000
36.000000,-0.030919,0.022972,4.402347,0.000000
37.000000,-0.030308,0.023171,4.644807,0.000000
38.000000,-0.033131,0.023407,4.872478,0.000000
39.000000,-0.034657,0.023662,5.112527,3.906250
40.000000,-0.032292,0.023881,5.345936,3.906250
41.000000,-0.031682,0.024090,5.555764,3.906250
42.000000,-0.029698,0.024273,5.773415,3.906250
43.000000,-0.030613,0.024465,6.001372,3.906250
44.000000,-0.032444,0.024679,6.252454,3.906250
45.000000,-0.034504,0.024919,6.507951,3.906250
46.000000,-0.035039,0.025164,6.746894,3.906250
47.000000,-0.033665,0.025389,6.976085,3.906250
48.000000,-0.026570,0.025527,7.218571,3.906250
49.000000,-0.024662,0.025646,7.463543,3.906250
50.000000,-0.030613,0.025828,7.719176,3.906250
51.000000,-0.031453,0.026019,7.967263,3.906250
52.000000,-0.032597,0.026222,8.201605,3.906250
