icmT,accT,accX,accY,accZ,gyrT,gyrX,gyrY,gyrZ,magT,magX,magY,magZ,roll,pitch,yaw,accX_,accX_1,accX_2,accY_,accY_1,accY_2,accZ_,accZ_1,accZ_2,gyrX_,gyrX_1,gyrX_2,gyrY_,gyrY_1,gyrY_2,gyrZ_,gyrZ_1,gyrZ_2,magX_,magX_1,magX_2,magY_,magY_1,magY_2,magZ_,magZ_1,magZ_2,roll_,roll_s,roll_c,roll_1,roll_2,pitch_,pitch_s,pitch_c,pitch_1,pitch_2,yaw_,yaw_s,yaw_c,yaw_1,yaw_2
0.000000,0.000000,0.256836,-1.009277,0.153809,0.000000,0.371933,1.243591,-0.827789,0.000000,-7.314362,8.786575,-31.982727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,10.000000,0.268555,-1.001953,0.161621,10.000000,0.188828,0.267029,-0.461578,10.000000,-7.314362,11.336578,-31.232727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,20.000000,0.265137,-0.996094,0.161133,20.000000,0.799179,0.205994,-0.095367,20.000000,-7.164368,11.336578,-31.232727,3.600935,-3.607832,2.060426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.764449,0.764449,0.764449,0.197042,0.197042,0.197042,-0.091223,-0.091223,-0.091223,-0.210778,-0.210778,-0.210778,0.333526,0.333526,0.333526,-0.918876,-0.918876,-0.918876,3.600935,0.062807,0.998026,3.600935,3.600935,-3.607832,-0.062927,0.998018,-3.607832,-3.607832,2.060426,0.035953,0.999353,2.060426,2.060426
30.000000,30.000000,0.255859,-0.991211,0.164551,30.000000,0.432968,-0.522614,0.083923,30.000000,-6.564362,11.486588,-31.382721,7.128093,-7.139918,4.103059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.346267,-0.418182,-1.182631,-0.517400,-0.714442,-0.911484,0.088377,0.179600,0.270823,-0.206824,0.003954,0.214732,0.334358,0.000832,-0.332693,-0.919472,-0.000596,0.918280,7.128093,0.124088,0.992271,3.527159,-0.073776,-7.139918,-0.124293,0.992246,-3.532086,0.075746,4.103059,0.071551,0.997437,2.042634,-0.017792
40.000000,40.000000,0.265137,-1.000000,0.166992,40.000000,0.310898,-0.705719,0.267029,40.000000,-5.964371,11.636581,-32.282715,10.582914,-10.601362,6.139778,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.312629,-0.033638,0.384544,-0.647346,-0.129946,0.584496,0.256022,0.167645,-0.011955,-0.200818,0.006006,0.002052,0.334881,0.000523,-0.000309,-0.920612,-0.001140,-0.000544,10.582914,0.183658,0.982990,3.454821,-0.072338,-10.601362,-0.183975,0.982931,-3.461444,0.070642,6.139778,0.106954,0.994264,2.036719,-0.005915
50.000000,50.000000,0.268066,-1.002929,0.161621,50.000000,0.066757,-0.461578,0.633240,50.000000,-7.764359,9.986588,-31.682724,10.660063,-10.576379,8.185445,0.251465,0.251465,0.251465,-0.955091,-0.955091,-0.955091,0.156736,0.156736,0.156736,-0.069627,-0.382256,-0.348618,-0.355119,0.292228,0.422174,0.583594,0.327572,0.159927,-0.197453,0.003365,-0.002641,0.332639,-0.002242,-0.002765,-0.922152,-0.001539,-0.000399,10.660063,0.184982,0.982742,0.077148,-3.377673,-10.576379,-0.183546,0.983011,0.024983,3.486428,8.185445,0.142377,0.989812,2.045667,0.008948
60.000000,60.000000,0.289062,-0.982422,0.155273,60.000000,0.127792,-0.156403,0.328064,60.000000,-8.064362,9.986588,-31.982727,10.740027,-10.552323,10.193962,0.252613,0.001148,-0.250317,-0.954819,0.000272,0.955363,0.156546,-0.000190,-0.156926,-0.010440,0.059187,0.441443,-0.028012,0.327106,0.034878,0.238899,-0.344695,-0.672267,-0.199432,-0.001979,-0.005344,0.327133,-0.005506,-0.003264,-0.923694,-0.001543,-0.000003,10.740027,0.186353,0.982483,0.079965,0.002816,-10.552323,-0.183133,0.983088,0.024055,-0.000928,10.193962,0.176981,0.984214,2.008517,-0.037149
70.000000,70.000000,0.294434,-0.995117,0.146973,70.000000,0.249863,0.083923,0.022888,70.000000,-8.064362,10.886581,-31.832718,10.824308,-10.529047,12.169093,0.255085,0.002472,0.001324,-0.954302,0.000518,0.000246,0.155693,-0.000853,-0.000663,0.102138,0.112577,0.053390,0.209356,0.237368,-0.089738,-0.077392,-0.316291,0.028405,-0.204399,-0.004967,-0.002988,0.321262,-0.005871,-0.000364,-0.924668,-0.000974,0.000568,10.824308,0.187798,0.982208,0.084281,0.004316,-10.529047,-0.182734,0.983162,0.023276,-0.000779,12.169093,0.210798,0.977530,1.975131,-0.033386
80.000000,80.000000,0.280273,-0.995117,0.161621,80.000000,0.494003,0.328064,-0.034332,80.000000,-7.464371,10.886581,-31.832718,10.910781,-10.507442,14.112227,0.257891,0.002806,0.000335,-0.953727,0.000574,0.000057,0.154585,-0.001108,-0.000255,0.321523,0.219385,0.106808,0.429400,0.220044,-0.017324,-0.129318,-0.051926,0.264365,-0.209236,-0.004838,0.000130,0.317399,-0.003863,0.002008,-0.924920,-0.000252,0.000722,10.910781,0.189280,0.981923,0.086473,0.002192,-10.507442,-0.182363,0.983231,0.021605,-0.001671,14.112227,0.243822,0.969820,1.943134,-0.031997
90.000000,90.000000,0.279785,-0.999511,0.160644,90.000000,-0.173569,1.182556,-0.339508,90.000000,-7.764359,12.236588,-31.382721,11.001152,-10.478863,16.029602,0.260118,0.002227,-0.000579,-0.953254,0.000473,-0.000101,0.153771,-0.000814,0.000294,-0.351053,-0.672576,-0.891961,1.212940,0.783540,0.563496,-0.413520,-0.284202,-0.232276,-0.212866,-0.003629,0.001208,0.316303,-0.001096,0.002767,-0.924468,0.000453,0.000705,11.001152,0.190829,0.981623,0.090371,0.003899,-10.478863,-0.181873,0.983322,0.028579,0.006973,16.029602,0.276134,0.961119,1.917375,-0.025760
