channel,mean,std
accX_,0.09463328,0.24132253
accX_1,0.00000143,0.00554216
accX_2,-0.00000009,0.00139590
accY_,-0.87839187,0.21831242
accY_1,-0.00000016,0.00550247
accY_2,0.00000003,0.00158091
accZ_,-0.15727471,0.29801066
accZ_1,0.00000966,0.00544338
accZ_2,0.00000003,0.00110700
gyrX_,0.00041205,16.13498747
gyrX_1,0.00013219,3.07667607
gyrX_2,0.00002316,3.23951843
gyrY_,-0.00329038,15.51914925
gyrY_1,-0.00014300,4.71489990
gyrY_2,-0.00001746,3.75278871
gyrZ_,0.00106829,7.63364256
gyrZ_1,0.00007363,2.11879075
gyrZ_2,-0.00001870,1.92185190
magX_,0.60329945,0.22341640
magX_1,-0.00001132,0.00289914
magX_2,-0.00000002,0.00088646
magY_,0.38749586,0.25593443
magY_1,0.00000768,0.00374680
magY_2,0.00000002,0.00086047
magZ_,-0.48244321,0.37105297
magZ_1,-0.00000439,0.00469334
magZ_2,0.00000005,0.00117049
roll_s,0.13663761,0.27996410
roll_c,0.94422356,0.10660303
roll_1,0.00017910,0.32892190
roll_2,-0.00000494,0.03819029
pitch_s,0.20150072,0.33116287
pitch_c,0.89966703,0.20074839
pitch_1,-0.00044993,0.37981713
pitch_2,-0.00000443,0.03284911
yaw_s,0.62333461,0.33449618
yaw_c,0.64481825,0.28939206
yaw_1,0.00109864,0.33934271
yaw_2,-0.00001353,0.06206410
