channel,mean,std
accX_,0.09569014,0.24094479
accX_1,0.00000305,0.00557217
accX_2,-0.00000224,0.00161627
accY_,-0.87852097,0.21831775
accY_1,-0.00001356,0.00677808
accY_2,-0.00000170,0.00582623
accZ_,-0.15675112,0.29769209
accZ_1,0.00001996,0.00542139
accZ_2,-0.00000228,0.00112402
gyrX_,0.03220552,16.13700564
gyrX_1,-0.00112765,3.04441208
gyrX_2,0.00484626,3.27102604
gyrY_,-0.05386825,15.45857683
gyrY_1,-0.01014251,4.71673734
gyrY_2,-0.00245700,3.76889781
gyrZ_,-0.01094366,7.63606086
gyrZ_1,-0.00292054,2.11568401
gyrZ_2,-0.00324024,1.92340909
magX_,0.60234207,0.22327069
magX_1,-0.00000727,0.00344910
magX_2,-0.00000151,0.00267738
magY_,0.38764983,0.25555467
magY_1,0.00001022,0.00377571
magY_2,0.00000175,0.00109805
magZ_,-0.48377621,0.37106438
magZ_1,-0.00001095,0.00597728
magZ_2,0.00000011,0.00528322
roll_s,0.13701684,0.27906230
roll_c,0.94445581,0.10631523
roll_1,0.00071227,0.33112720
roll_2,-0.00000274,0.04572214
pitch_s,0.20093203,0.33074689
pitch_c,0.89996070,0.20063061
pitch_1,-0.00049671,0.38098716
pitch_2,-0.00000654,0.03970160
yaw_s,0.62468352,0.33399558
yaw_c,0.64385368,0.28916945
yaw_1,0.00175432,0.34013222
yaw_2,-0.00018580,0.06041177
