emgT,emg,rms,mnf,mdf
0.000000,-0.048848,0.004885,0.000000,0.000000
1.000000,-0.047932,0.006844,0.000000,0.000000
2.000000,-0.047017,0.008303,0.000000,0.000000
3.000000,-0.048314,0.009606,0.000000,0.000000
4.000000,-0.045872,0.010646,0.000000,0.000000
5.000000,-0.044347,0.011532,0.000000,0.000000
6.000000,-0.045033,0.012380,0.000000,0.000000
7.000000,-0.045491,0.013190,0.000000,0.000000
8.000000,-0.043431,0.013886,1.307502,0.000000
9.000000,-0.048619,0.014713,1.319519,0.000000
10.000000,-0.042973,0.015328,1.338528,0.000000
11.000000,-0.044728,0.015967,1.364172,0.000000
12.000000,-0.043202,0.016541,1.398901,0.000000
13.000000,-0.042058,0.017067,1.443268,0.000000
14.000000,-0.042439,0.017587,1.495795,0.000000
15.000000,-0.044347,0.018138,1.556496,0.000000
16.000000,-0.041600,0.018609,1.628760,0.000000
17.000000,-0.040303,0.019040,1.702011,0.000000
18.000000,-0.041447,0.019486,1.792710,0.000000
19.000000,-0.039998,0.019892,1.889339,0.000000
20.000000,-0.039616,0.020283,1.997852,0.000000
21.000000,-0.040074,0.020675,2.118086,0.000000
22.000000,-0.040227,0.021063,2.246641,0.000000
23.000000,-0.039998,0.021439,2.378876,0.000000
24.000000,-0.038243,0.021777,2.527067,0.000000
25.000000,-0.037404,0.022096,2.688001,0.000000
26.000000,-0.038853,0.022435,2.853958,0.000000
27.000000,-0.037709,0.022750,3.033062,0.000000
28.000000,-0.036641,0.023043,3.221773,0.000000
29.000000,-0.036870,0.023336,3.416549,0.000000
30.000000,-0.036183,0.023615,3.617908,0.000000
31.000000,-0.037022,0.023904,3.826916,0.000000
32.000000,-0.034504,0.024151,4.050051,0.000000
33.000000,-0.034810,0.024401,4.283444,0.000000
34.000000,-0.035420,0.024657,4.515792,0.000000
35.000000,-0.037480,0.024940,4.758834,0.000000
36.000000,-0.033665,0.025166,5.012144,0.000000
37.000000,-0.034733,0.025405,5.268645,0.000000
38.000000,-0.030919,0.025592,5.532648,3.906250
39.000000,-0.032902,0.025803,5.795160,3.906250
40.000000,-0.033436,0.026018,6.074681,3.906250
41.000000,-0.033665,0.026235,6.354813,3.906250
42.000000,-0.032292,0.026433,6.632921,3.906250
43.000000,-0.031834,0.026624,6.899263,3.906250
44.000000,-0.031147,0.026806,7.189339,3.906250
45.000000,-0.027867,0.026950,7.472705,3.906250
46.000000,-0.032979,0.027151,7.779831,3.906250
47.000000,-0.030919,0.027327,8.073350,3.906250
48.000000,-0.030156,0.027493,8.361757,3.906250
49.000000,-0.030842,0.027665,8.646465,3.906250
50.000000,-0.029316,0.027820,8.937606,3.906250
51.000000,-0.026875,0.027950,9.228750,3.906250
52.000000,-0.029622,0.028106,9.521013,3.906250
53.000000,-0.026493,0.028231,9.831429,3.906250
54.000000,-0.029545,0.028385,10.103229,3.906250
55.000000,-0.029164,0.028534,10.384218,3.906250
56.000000,-0.026417,0.028656,10.665331,3.906250
57.000000,-0.028477,0.028797,10.936570,3.906250
58.000000,-0.029164,0.028945,11.212391,3.906250
59.000000,-0.027180,0.029072,11.498423,3.906250
60.000000,-0.025044,0.029180,11.760186,3.906250
61.000000,-0.028553,0.029319,12.035990,3.906250
62.000000,-0.025807,0.029433,12.285435,3.906250
63.000000,-0.028782,0.029573,12.530810,3.906250
64.000000,-0.025502,0.029683,12.786768,3.906250
65.000000,-0.024586,0.029784,13.022861,3.906250
66.000000,-0.024815,0.029887,13.247955,3.906250
67.000000,-0.026417,0.030004,13.478235,3.906250
68.000000,-0.026951,0.030125,13.714035,3.906250
69.000000,-0.026570,0.030242,13.922044,3.906250
70.000000,-0.025273,0.030347,14.138946,3.906250
71.000000,-0.025502,0.030454,14.332062,3.906250
72.000000,-0.024739,0.030554,14.536572,3.906250
73.000000,-0.024128,0.030650,14.738829,3.906250
74.000000,-0.021229,0.030723,14.932639,3.906250
75.000000,-0.024434,0.030820,15.111212,3.906250
76.000000,-0.021458,0.030895,15.280573,3.906250
77.000000,-0.024434,0.030991,15.445496,3.906250
78.000000,-0.024891,0.031091,15.610292,3.906250
79.000000,-0.022755,0.031174,15.767639,3.906250
80.000000,-0.021687,0.031249,15.922193,3.906250
81.000000,-0.020542,0.031317,16.073164,3.906250
82.000000,-0.020466,0.031384,16.230057,3.906250
83.000000,-0.021534,0.031457,16.367165,3.906250
84.000000,-0.022526,0.031538,16.510157,3.906250
85.000000,-0.019780,0.031600,16.635483,3.906250
86.000000,-0.021839,0.031675,16.753708,3.906250
87.000000,-0.020161,0.031739,16.874338,3.906250
88.000000,-0.018406,0.031793,16.993084,3.906250
89.000000,-0.019017,0.031850,17.109955,3.906250
90.000000,-0.020848,0.031918,17.221333,7.812500
91.000000,-0.017872,0.031968,17.323933,7.812500
92.000000,-0.019932,0.032030,17.418573,7.812500
93.000000,-0.017262,0.032076,17.516069,7.812500
94.000000,-0.019703,0.032137,17.602964,7.812500
95.000000,-0.021153,0.032206,17.689526,7.812500
96.000000,-0.016804,0.032250,17.775463,7.812500
97.000000,-0.015049,0.032285,17.854996,7.812500
