icmT,accT,accX,accY,accZ,gyrT,gyrX,gyrY,gyrZ,magT,magX,magY,magZ,roll,pitch,yaw,accX_,accX_1,accX_2,accY_,accY_1,accY_2,accZ_,accZ_1,accZ_2,gyrX_,gyrX_1,gyrX_2,gyrY_,gyrY_1,gyrY_2,gyrZ_,gyrZ_1,gyrZ_2,magX_,magX_1,magX_2,magY_,magY_1,magY_2,magZ_,magZ_1,magZ_2,roll_,roll_s,roll_c,roll_1,roll_2,pitch_,pitch_s,pitch_c,pitch_1,pitch_2,yaw_,yaw_s,yaw_c,yaw_1,yaw_2
0.000000,0.000000,0.256836,-1.009277,0.153809,0.000000,0.371933,1.243591,-0.827789,0.000000,-7.314362,8.786575,-31.982727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10.000000,10.000000,0.268555,-1.001953,0.161621,10.000000,0.188828,0.267029,-0.461578,10.000000,-7.314362,11.336578,-31.232727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
20.000000,20.000000,0.265137,-0.996094,0.161133,20.000000,0.799179,0.205994,-0.095367,20.000000,-7.164368,11.336578,-31.232727,-3.599065,3.592168,2.060426,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.764449,0.764449,0.764449,0.197042,0.197042,0.197042,-0.091223,-0.091223,-0.091223,-0.210778,-0.210778,-0.210778,0.333526,0.333526,0.333526,-0.918876,-0.918876,-0.918876,-3.599065,-0.062774,0.998028,-3.599065,-3.599065,3.592168,0.062654,0.998035,3.592168,3.592168,2.060426,0.035953,0.999353,2.060426,2.060426
30.000000,30.000000,0.255859,-0.991211,0.164551,30.000000,0.432968,-0.522614,0.083923,30.000000,-6.564362,11.486588,-31.382721,-7.127906,7.116081,4.041887,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.346267,-0.418182,-1.182631,-0.517400,-0.714442,-0.911484,0.088377,0.179600,0.270823,-0.206824,0.003954,0.214732,0.334358,0.000832,-0.332693,-0.919472,-0.000596,0.918280,-7.127906,-0.124085,0.992272,-3.528841,0.070224,7.116081,0.123880,0.992297,3.523913,-0.068254,4.041887,0.070486,0.997513,1.981461,-0.078964
40.000000,40.000000,0.265137,-1.000000,0.166992,40.000000,0.310898,-0.705719,0.267029,40.000000,-5.964371,11.636581,-32.282715,-10.587965,10.570713,5.958523,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.195864,-0.150404,0.267778,-0.647346,-0.129946,0.584496,0.256022,0.167645,-0.011955,-0.200818,0.006006,0.002052,0.334881,0.000523,-0.000309,-0.920612,-0.001140,-0.000544,-10.587965,-0.183745,0.982974,-3.460059,0.068782,10.570713,0.183449,0.983029,3.454632,-0.069282,5.958523,0.103808,0.994597,1.916636,-0.064825
50.000000,50.000000,0.268066,-1.002929,0.161621,50.000000,0.066757,-0.461578,0.633240,50.000000,-7.764359,9.986588,-31.682724,-10.087302,10.172255,7.828468,0.251546,0.251546,0.251546,-0.955070,-0.955070,-0.955070,0.156733,0.156733,0.156733,-0.059258,-0.255121,-0.104718,-0.355119,0.292228,0.422174,0.583594,0.327572,0.159927,-0.197453,0.003365,-0.002641,0.332639,-0.002242,-0.002765,-0.922152,-0.001539,-0.000399,-10.087302,-0.175149,0.984542,0.500663,3.960721,10.172255,0.176608,0.984281,-0.398458,-3.853090,7.828468,0.136208,0.990680,1.869945,-0.046691
60.000000,60.000000,0.289062,-0.982422,0.155273,60.000000,0.127792,-0.156403,0.328064,60.000000,-8.064362,9.986588,-31.982727,-9.592275,9.781338,9.668079,0.252710,0.001164,-0.250382,-0.954794,0.000276,0.955346,0.156541,-0.000191,-0.156924,-0.000550,0.058708,0.313829,-0.028012,0.327106,0.034878,0.238899,-0.344695,-0.672267,-0.199432,-0.001979,-0.005344,0.327133,-0.005506,-0.003264,-0.923694,-0.001543,-0.000003,-9.592275,-0.166636,0.986019,0.495028,-0.005635,9.781338,0.169889,0.985463,-0.390917,0.007542,9.668079,0.167940,0.985797,1.839612,-0.030334
70.000000,70.000000,0.294434,-0.995117,0.146973,70.000000,0.249863,0.083923,0.022888,70.000000,-8.064362,10.886581,-31.832718,-9.101235,9.397941,11.480896,0.255178,0.002468,0.001304,-0.954277,0.000517,0.000241,0.155689,-0.000853,-0.000662,0.111551,0.112101,0.053393,0.209356,0.237368,-0.089738,-0.077392,-0.316291,0.028405,-0.204399,-0.004967,-0.002988,0.321262,-0.005871,-0.000364,-0.924668,-0.000974,0.000568,-9.101235,-0.158179,0.987410,0.491039,-0.003988,9.397941,0.163291,0.986578,-0.383397,0.007520,11.480896,0.199041,0.979991,1.812817,-0.026795
80.000000,80.000000,0.280273,-0.995117,0.161621,80.000000,0.494003,0.328064,-0.034332,80.000000,-7.464371,10.886581,-31.832718,-8.616150,9.021007,13.267044,0.257976,0.002797,0.000329,-0.953705,0.000572,0.000055,0.154581,-0.001107,-0.000255,0.330465,0.218914,0.106813,0.429400,0.220044,-0.017324,-0.129318,-0.051926,0.264365,-0.209236,-0.004838,0.000130,0.317399,-0.003863,0.002008,-0.924920,-0.000252,0.000722,-8.616150,-0.149814,0.988714,0.485085,-0.005954,9.021007,0.156797,0.987631,-0.376934,0.006463,13.267044,0.229490,0.973311,1.786148,-0.026669
90.000000,90.000000,0.279785,-0.999511,0.160644,90.000000,-0.173569,1.182556,-0.339508,90.000000,-7.764359,12.236588,-31.382721,-8.135151,8.659017,15.031316,0.260193,0.002217,-0.000580,-0.953234,0.000471,-0.000101,0.153768,-0.000813,0.000294,-0.342576,-0.673041,-0.891954,1.212940,0.783540,0.563496,-0.413520,-0.284202,-0.232276,-0.212866,-0.003629,0.001208,0.316303,-0.001096,0.002767,-0.924468,0.000453,0.000705,-8.135151,-0.141509,0.989937,0.480999,-0.004086,8.659017,0.150554,0.988602,-0.361990,0.014944,15.031316,0.259347,0.965784,1.764272,-0.021876
