channel,mean,std
accX_,0.09565812,0.24096576
accX_1,0.00000933,0.00559999
accX_2,-0.00000320,0.00181402
accY_,-0.87850632,0.21830321
accY_1,-0.00001117,0.00675845
accY_2,0.00001429,0.00708559
accZ_,-0.15668758,0.29777274
accZ_1,0.00002297,0.00539921
accZ_2,0.00000095,0.00111276
gyrX_,0.03746566,16.09808721
gyrX_1,-0.00558780,3.04090162
gyrX_2,-0.00193967,3.32495307
gyrY_,-0.03320978,15.37153739
gyrY_1,-0.01372574,4.71456815
gyrY_2,-0.00982789,3.68328380
gyrZ_,-0.00451065,7.60893729
gyrZ_1,0.00293883,2.10542730
gyrZ_2,0.00343195,1.91044078
magX_,0.60226867,0.22331803
magX_1,-0.00000901,0.00345102
magX_2,-0.00000050,0.00267579
magY_,0.38756736,0.25559896
magY_1,0.00000871,0.00377472
magY_2,0.00000302,0.00109788
magZ_,-0.48387068,0.37107606
magZ_1,-0.00001261,0.00597196
magZ_2,0.00000121,0.00528231
roll_s,0.13696601,0.27911521
roll_c,0.94443191,0.10637427
roll_1,0.00074361,0.33079643
roll_2,-0.00001367,0.04477526
pitch_s,0.20086275,0.33080945
pitch_c,0.89993859,0.20065370
pitch_1,-0.00061185,0.38069061
pitch_2,-0.00000337,0.03856261
yaw_s,0.62466034,0.33399542
yaw_c,0.64387593,0.28914082
yaw_1,0.00201169,0.33966514
yaw_2,-0.00011245,0.06483800
