channel,mean,std
accX_,0.09072879,0.23676732
accX_1,-0.00003872,0.00540533
accX_2,0.00000029,0.00159852
accY_,-0.88416820,0.21045171
accY_1,-0.00005069,0.00662493
accY_2,0.00000083,0.00583155
accZ_,-0.14704744,0.29618926
accZ_1,0.00004209,0.00533824
accZ_2,-0.00000082,0.00111075
gyrX_,-0.11814200,15.35239848
gyrX_1,0.00021518,3.06217993
gyrX_2,0.00059633,3.32476103
gyrY_,0.07335171,15.09191086
gyrY_1,-0.00250714,4.56707860
gyrY_2,-0.00020155,3.66625358
gyrZ_,-0.01245745,7.48522629
gyrZ_1,0.00152802,2.07629507
gyrZ_2,-0.00034511,1.90106551
magX_,0.59766374,0.22888899
magX_1,-0.00000838,0.00321479
magX_2,0.00000017,0.00198862
magY_,0.39278839,0.25645576
magY_1,-0.00000184,0.00369208
magY_2,-0.00000022,0.00098756
magZ_,-0.48461715,0.36777005
magZ_1,-0.00004420,0.00530368
magZ_2,0.00000135,0.00379668
roll_s,0.13139716,0.27465700
roll_c,0.94691557,0.10190768
roll_1,-0.00424454,0.31736057
roll_2,0.00002078,0.04063470
pitch_s,0.18931930,0.32687182
pitch_c,0.90520535,0.19404182
pitch_1,-0.00295972,0.36353493
pitch_2,0.00015435,0.03807132
yaw_s,0.62577332,0.33467548
yaw_c,0.63884397,0.29667221
yaw_1,0.00535359,0.33153040
yaw_2,0.00004225,0.06185938
